"","from","to","edge_direction","edge_type","frequency"
"5208","Mye14","Epi85","-->","dd_nl/pd_nl",21
"5239","Mye15","B10","-->","dd_nl/pd_nl",22
"5246","Mye15","B56","-->","dd_nl/pd_nl",29
"5341","Mye17","B8","-->","dd_nl/pd_nl",23
"5379","Mye17","TNK66","-->","dd_nl/pd_nl",30
"5403","Mye18","B30","-->","dd_nl/pd_nl",40
"5414","Mye18","Epi75","-->","dd_nl/pd_nl",58
"5416","Mye18","Mye10","-->","dd_nl/pd_nl",49
"5447","Mye18","TNK56","-->","dd_nl/pd_nl",22
"5486","Mye2","B84","-->","dd_nl/pd_nl",36
"5497","Mye2","Mye10","-->","dd_nl/pd_nl",35
"5555","Mye20","B32","-->","dd_nl/pd_nl",31
"5587","Mye20","Stromal19","-->","dd_nl/pd_nl",57
"5656","Mye21","Epi19","-->","dd_nl/pd_nl",26
"5660","Mye21","Epi56","-->","dd_nl/pd_nl",21
"5668","Mye21","Stromal80","-->","dd_nl/pd_nl",77
"5705","Mye22","Epi75","-->","dd_nl/pd_nl",52
"5708","Mye22","Mye1","-->","dd_nl/pd_nl",22
"5785","Mye23","Mye33","-->","dd_nl/pd_nl",21
"5802","Mye23","Stromal13","-->","dd_nl/pd_nl",30
"5897","Mye24","B12","-->","dd_nl/pd_nl",37
"5899","Mye24","B23","-->","dd_nl/pd_nl",30
"5929","Mye24","TNK14","-->","dd_nl/pd_nl",23
"5977","Mye25","Mye13","-->","dd_nl/pd_nl",62
"5984","Mye25","Mye35","-->","dd_nl/pd_nl",40
"5986","Mye25","Mye48","-->","dd_nl/pd_nl",32
"5991","Mye25","Mye72","-->","dd_nl/pd_nl",29
"6080","Mye26","Mye22","-->","dd_nl/pd_nl",22
"6091","Mye26","Stromal43","-->","dd_nl/pd_nl",21
"6093","Mye26","Stromal55","-->","dd_nl/pd_nl",30
"6148","Mye3","Stromal1","-->","dd_nl/pd_nl",71
"6182","Mye32","Epi11","-->","dd_nl/pd_nl",22
"6257","Mye33","Mye7","-->","dd_nl/pd_nl",25
"6311","Mye35","B38","-->","dd_nl",29
"6330","Mye35","Epi85","-->","dd_nl/pd_nl",40
"6334","Mye35","Mye14","-->","dd_nl/pd_nl",38
"6359","Mye35","Stromal65","-->","dd_nl/pd_nl",28
"6421","Mye4","Mye26","-->","dd_nl/pd_nl",25
"6589","Mye47","B56","-->","dd_nl/pd_nl",22
"6611","Mye47","Mye15","-->","dd_nl/pd_nl",70
"6616","Mye47","Mye3","-->","dd_nl/pd_nl",23
"6626","Mye47","Mye6","-->","dd_nl/pd_nl",40
"6701","Mye48","Mye54","-->","dd_nl/pd_nl",88
"6703","Mye48","Mye58","-->","dd_nl/pd_nl",26
"6706","Mye48","Mye68","-->","dd_nl/pd_nl",54
"6760","Mye5","B4","-->","dd_nl/pd_nl",66
"6861","Mye50","Epi55","-->","dd_nl/pd_nl",23
"6882","Mye50","Mye42","-->","dd_nl/pd_nl",67
"6887","Mye50","Mye68","-->","dd_nl/pd_nl",22
"6906","Mye50","Stromal6","-->","dd_nl/pd_nl",22
"6908","Mye50","Stromal61","-->","dd_nl/pd_nl",27
"6911","Mye50","Stromal65","-->","dd_nl/pd_nl",31
"7012","Mye52","Stromal34","-->","dd_nl/pd_nl",41
